postal_code,departement,nb_departements,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010
02300,02,1,31,27930.000000000004,11736.590885664022,345,320,13060.049164298724,11736.590885664022,348.55717325733161,974.90110537736621,7634.2870591576357,15814,7476,17555.482142857141,9023.6211534583181,17986.418135683867,1737.1233755989695,12167.72013465037,1725,229,131,194,881,289,290,592,524,130
02380,02,1,11,2897.9999999999982,1100.301086383975,34,30,1328.6395944066219,1100.301086383975,120.16428211517656,108.17422590747084,825.90666278321294,1593,727,17273.555555555555,737.87171655197164,1849.0672075011323,125.11879537773697,1309.4282735221498,201,50,14,23,74,20,40,54,67,13
02460,02,1,3,2638,1055.2984159093776,25,32,1228.1536144379986,1055.2984159093776,72.175913688340117,100.67928484027607,711.91421001922936,1458,763,18514.666666666668,728.81411739433179,1708.7546107573121,154.60565480846719,1236.4147302194117,147,8,16,16,77,19,30,58,50,11
02550,02,1,1,1535,581.61606461740803,15,26,647.61451422981099,581.61606461740803,19.683748130014898,46.314701482388003,407.52028607808302,909,334,14769,486.025350118875,889.71698285366006,85.588986097545003,606.99629277299903,85,23,7,13,32,12,10,20,20,9
02640,02,1,2,893.00000000000102,347.18273298035518,15,9,378.55789637904803,347.18273298035518,4.6092012562600795,26.765962142432699,274.97825998900629,480,246,17521,133.37599237056779,595.62598154095508,61.210849752625691,423.52645893007002,51,9,4,7,24,6,7,18,14,2
02790,02,1,1,787,289.26489226869506,13,3,304.95044782424998,289.26489226869506,4.1828148148147992,11.5027407407407,234.40430925221801,398,211,17757,70.671277960505108,545.61343472750309,45.883396704689495,365.07224334600801,19,3,1,0,11,4,4,7,6,1
02870,02,1,7,3780.0000000000036,1428.8528340750249,66,29,1549.0656541018716,1428.8528340750249,37.216571710674209,82.996248316172,1024.942960270178,2025,1141,21052.166666666668,539.70870688577077,2421.4862771513094,171.39679603858622,1787.0091045710546,197,36,21,33,73,24,34,49,49,11
03150,03,1,10,8316.9999999999945,3562.7279888315215,67,116,4207.7183381080722,3562.7279888315215,204.76864484850213,440.22170442804725,2420.880107850563,4995,2260,16728.5,3261.9560636168976,4922.1278194805427,378.93296778651489,3595.8435157295594,694,164,39,72,338,104,81,234,218,36
03240,03,1,8,3925.0000000000009,1643.9874916300896,36,49,2194.357180485506,1643.9874916300896,257.96680775971447,292.40288109570173,1130.2441808814833,2252,962,16321.6875,1080.1481608322645,2395.716414343226,170.2475077657661,1729.7350723679281,468,229,23,21,149,45,46,104,87,11
03330,03,1,7,2169.0000000000009,986.14421021709313,21,33,1639.1384988951033,986.14421021709313,382.36939690791252,270.62489177009661,729.43731075708286,1294,487,15335.333333333334,576.35786148309205,1212.0084416882326,114.0787468391013,796.34015499387851,242,82,15,23,92,24,30,68,45,10
03410,03,1,5,14483,6178.5845024385826,116,116,6860.3695761149847,6178.5845024385826,162.54952529670567,519.23554837969141,5031.5891124445398,8219,4841,19170.200000000001,4948.4962576659791,9148.2865412357132,507.02689311569753,6261.4501127497342,872,104,78,127,482,221,81,261,236,95
03510,03,1,2,2136.00000000001,891.34693877551194,22,14,1022.497381253389,891.34693877551194,29.318584070796497,101.83185840707981,622.20408163265506,1189,533,16174.5,577.92375156646608,1370.986394557827,90.387755102041098,1021.6394557823151,159,55,16,18,61,23,9,38,37,12
04120,04,1,7,2527,1178.7582452017234,18,35,2721.1360693415631,1178.7582452017234,1308.7137011266855,233.66412301315449,700.10144927536226,1433,639,14816.6,1023.1639883457619,1596.0398746572657,159.09471210340774,1126.7582452017234,517,94,34,37,287,79,65,208,78,14
04200,04,1,19,13409.00000000002,6049.4554830005145,127,130,7834.0496335031876,6049.4554830005145,1089.0573438189524,695.53680668371771,3519.8549464512457,7706,3802,17758.464285714286,5877.5593022002722,8419.6591838255081,703.71447444588432,6087.932438979512,1658,287,114,177,867,267,213,600,464,84
04280,04,1,1,1220,560,10,12,884,560,289,35,415,731,320,15927,230.797932970478,703,84,472,157,27,7,25,76,14,22,62,21,6
04360,04,1,1,718.00000000000205,338.08123227749002,5,6,640.36764004448105,338.08123227749002,265.64563106796101,36.640776699029196,177.23626451552599,399,206,16439,388.56648321996505,486.77797675273507,61.115953281216001,378.84394297401502,227,30,29,4,152,55,12,97,52,3
04530,04,1,4,542.00000000000023,235.87383607438119,3,5,742.272488106232,235.87383607438119,476.62413722379324,29.7745148080581,163.68277725094211,282,132,15903.5,196.87246639275008,338.30922011856177,14.22842485936085,233.83021853862039,146,55,11,11,52,2,17,50,16,2
05000,05,1,8,42552,19703.307510356353,455,367,22296.984386498203,19703.307510356353,911.84458923346699,1681.8322869084191,10815.385209846192,25516,14066,20840.375,22028.603745544868,26862.004316181043,1874.9116728917129,19571.696077143708,4857,319,238,432,2943,885,925,2058,1434,344
05170,05,1,1,719.99999999999898,342.49928909756005,13,4,3828.0485076333503,342.49928909756005,3433.9725802029207,51.576638332876499,203.665233674885,492,281,18642,642.5546853017081,485.47639758649507,11.314735204160298,398.04435282707402,368,34,10,7,214,35,103,179,101,11
05290,05,1,2,1042,497.01322246318603,12,7,4168.7611746190605,497.01322246318603,3609.8783860066142,61.8695661492672,328.17934926229111,700,366,16712.75,631.58119062141702,674.57591174639708,22.7109868806969,500.43098391311901,376,17,13,21,216,39,109,177,81,7
05400,05,1,11,6124,2780.942094669701,64,70,3954.6875674198122,2780.942094669701,896.92077040620882,276.82470234390144,1811.1368332910449,3581,1733,18245.799999999999,1754.7608156932572,3751.6194708057433,219.47969426584427,2590.3800444404706,694,129,42,81,325,90,117,235,146,30
05800,05,1,8,1638.0000000000002,765.20461025567988,8,25,1802.3788399754117,765.20461025567988,909.82214035590323,127.35208936382837,595.32427921016165,901,363,15536.071428571429,420.45719349959631,920.3499111816285,56.921302512464401,638.11198295755821,276,81,20,33,109,19,33,90,46,1
06190,06,1,1,13186,6595.7624066144508,19,87,13358.811726386899,6595.7624066144508,6157.3945293138304,605.65479045866005,3418.63470543826,8285,5416,22179,2970.5075324266704,8146.1288543271103,553.7312329767941,5986.0701443264898,1307,11,41,144,974,206,137,768,310,34
06270,06,1,1,15091,6937.9789753615205,163,103,11471.325223165501,6937.9789753615205,4019.7171579178603,513.62908988616402,4444.1165132759106,9950,6493,23067,7505.3276337014204,9948.8509049269014,715.23263539416905,7683.7264552584002,2331,15,96,259,1761,530,200,1231,520,141
06380,06,1,2,3732,1551.5770973225301,13,55,2577.7365544896302,1551.5770973225301,799.95256736478302,226.20688980231,1094.7014202217101,2346,1180,16365,804.89880184190349,2237.7487828310905,157.444026559576,1647.7375205740102,430,76,19,64,228,54,43,174,70,9
06460,06,1,3,4061.9999999999991,1608.2552316208689,50,21,2452.4626091922059,1608.2552316208689,725.05711024579944,119.1502673255372,1091.3393889254855,2225,1274,19192.333333333332,756.85432856969737,2679.8738000002631,200.17547761415332,2022.7382751756631,492,37,32,93,286,76,44,210,100,9
06550,06,1,1,4921,1831.99999999999,43,24,1991.9158249158199,1831.99999999999,76.481481481481509,83.43434343434339,1274.29247827414,2701,1765,23837,1181.7044945535799,3277.7602577949201,172.14567725058401,2443.3620775568297,550,31,37,115,318,86,49,232,128,20
06640,06,1,1,3669,1402.99999999999,31,66,1726.4503816793799,1402.99999999999,235.786259541985,87.664122137404604,1110.22636506147,2156,1405,24750,1298.7113956959201,2312.1782508048004,116.40238112297101,1568.0415908912,481,31,43,88,269,66,50,203,100,30
06740,06,1,1,3205,1270.9999998984401,23,44,1640.3924527286201,1270.9999998984401,284.93081761006204,84.461635220125601,917.71748690396805,1733,1092,24491,648.19997098950512,2002.2064235340101,100.40576217574601,1372.1696599160803,477,19,26,63,308,73,61,235,91,17
06950,06,1,1,1919,730.56843209229203,9,8,798.90269393073197,730.56843209229203,30.370783039306698,37.963478799133398,599.75039328788705,987,695,27680.5,233.48702010139903,1208.5574200314602,42.264289459884701,858.36759307813406,148,3,6,30,88,11,21,77,30,2
07160,07,1,14,6505.99999999999,2979.4506323113346,48,77,4381.2586439573051,2979.4506323113346,911.04253869602314,490.76547294995146,2053.9468824784262,3787,1943,16957.299999999999,3099.9481720118902,4023.2478283449905,234.80348851420459,2929.1471209074489,632,127,46,73,298,115,88,183,163,35
07250,07,1,2,3821.9999999999905,1608.4708017735959,48,41,1796.6294914957534,1608.4708017735959,66.95692334417619,121.20176637798298,975.08684271008804,2196,976,17149,1728.0174920162683,2369.5578442962869,217.52542530686964,1683.2357698366332,311,19,40,55,157,41,40,116,91,31
07340,07,1,16,11816,4651.0540271617456,162,85,5326.4214860237971,4651.0540271617456,312.11681859964131,363.25064026240943,3496.271621804658,6399,3645,18579.1875,3765.7497080726707,7580.2304438835999,450.02708214596845,5706.6222771754601,934,257,75,108,381,122,113,259,233,42
07440,07,1,4,2612.0000000000014,1061.2591166867751,38,28,1554.3398708567911,1061.2591166867751,414.99475346142515,78.08600070859174,800.30630907999807,1458,594,15311,566.21653340160822,1602.6742850304131,93.458843169600101,1190.516251535757,316,136,23,34,99,30,24,69,49,9
