departement,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010,ratio_imposable_2009
971,32,401553.99999999994,160772.46645904964,5384,2835,201513.50756150426,160772.46645904964,12166.790497709788,28574.250604744826,96877.809840249334,228803,64246,,125728.86891640976,259339.9442480295,50312.434238523041,174340.8678812875,59300,8648,3997,6968,34493,11794,5194,22699,8830,2111,0.28079177283514639
2B,236,164344,69922.907051446819,1662,1527,111650.55301645464,69922.907051446819,37567.19635200825,4160.4496129994995,38086.04375877008,91003,41336,15734.513698630137,62453.386676368333,107101.48321841992,8193.0974218717438,70242.21901895976,21973,2494,1251,2984,12682,3581,2562,9101,5688,996,0.45422678373240444
42,327,746115,322619.74552000005,9357,7002,371610.35600478307,322619.74552000005,17526.913430604531,31463.697054178414,187126.68113617037,417187,210725,17859.175632911392,285354.96349339868,468594.80098983133,36193.783909286867,329364.69097534037,61143,7173,4711,6028,34518,10803,8713,23715,17131,4526,0.5051092196065553
86,281,426065.99999999988,193398.22399714674,4885,4079,225080.98993647416,193398.22399714674,12200.034626349272,19482.731312978034,117211.52724751171,236301,121034,17077.025179856115,173245.13637644367,274884.52859998116,20107.356598268681,194656.3201527732,33563,5903,2141,3100,17708,5113,4711,12595,8989,2473,0.51220265678096999
95,185,1168892,435816.61514454486,19551,6709,462761.3874544311,435816.61514454486,4868.8318076579762,22075.940502227913,251979.66384761097,629618,381440,24250.620689655174,434772.76610668673,787089.98886294139,66660.925012004489,583396.54747854511,72024,846,3675,9212,48290,15068,10001,33222,19565,5742,0.6058276605814954
53,261,305147,128694.30997409436,3733,2734,147687.50784722509,128694.30997409436,7788.6898030396878,11204.508070091118,83580.226760630787,163617,82764,16431.110465116279,128565.13810244328,187652.62128678701,10539.185961593254,140581.64009080618,27396,9251,1656,2062,11209,3362,3218,7847,6656,1779,0.50583985771649642
37,277,588420,262500.71974653954,6696,5096,295361.59200393729,262500.71974653954,13114.840217267361,19746.032040130242,153375.7364825758,327981,182018,18107.677536231884,243259.00547328297,379592.87982524332,27449.257346840874,273777.30529693654,44974,5945,2825,4347,24916,7046,6941,17870,13222,3450,0.55496507419637109
89,455,343377,148495.91002311141,3699,3900,188669.13402389767,148495.91002311141,23043.028485809416,17130.195514976451,99879.645843779464,199293,103930,18329.023809523809,128940.12855489297,213140.66207999139,17480.660358229834,153387.33111897667,28134,5168,1904,2843,14310,4725,3909,9585,8243,1858,0.52149347944985525
54,594,731018.99999999988,319366.75537661754,8499,6206,351789.65319323156,319366.75537661754,5261.597761529295,27161.300055084928,182915.05316311255,400652,205628,19247.170731707316,271304.1787869549,485590.92460316722,39062.917062069515,338591.70294684434,47370,3245,3187,4676,27099,8054,9163,19045,13710,3746,0.51323342950989892
07,339,313578,135349.38823031925,3360,3307,185717.24198051888,135349.38823031925,35640.328659594532,14727.525090605164,89877.988650666492,182238,88411,16357.300970873786,106419.57157200165,193806.9534104965,15402.631714250523,137128.26958232821,31047,6260,2171,3442,15106,4691,4068,10415,7546,1591,0.48514031102185057
34,343,1031974,460798.08277758933,13000,9326,633527.62454417592,460798.08277758933,125955.83687019942,46773.704896386938,255776.8312245307,609603,296132,17578.514285714286,385049.03725007945,667037.90287720866,68681.479676973715,450079.49019151507,120089,14386,5727,13197,69836,20689,16943,49147,27286,5773,0.48577844925303848
75,1,2234105,1159952.1502461,30094,13771,1353036.4032248601,1159952.1502461,87364.122504993793,105720.13047376499,383910.48356495897,1444130,934837,25044,1805470.3603244501,1595715.92223302,134137.954939513,1216528.9247677701,474402,728,17153,23946,389695,75398,42880,314297,123177,24260,0.6473357661706356
21,706,524144,233765.88001883859,5906,4500,268172.40839291841,233765.88001883859,14490.861989834762,19915.666384245033,142278.44342954239,291407,167808,19477.628099173555,232988.50302158191,345902.30418936018,22843.4339713142,250964.73529362818,45549,6284,2800,4095,25446,7824,6924,17622,13263,3329,0.57585438922194732
85,282,626411,266258.92775849794,7442,5823,385060.62560451648,266258.92775849794,101947.22253441293,16854.475311605926,191737.27750265916,356230,185724,17308.177304964538,255229.96802987644,388570.22565596236,25558.771931645486,286065.7506155906,52970,8147,3902,5651,28753,8235,6517,20518,14904,3784,0.52135979563764978
77,514,1313414,501051.10504133633,19824,8257,551198.79763716622,501051.10504133633,17067.787138085172,33079.905457744615,316583.3005325821,708755,448739,22540.824649298596,438939.77425338444,883806.02550656907,62105.084763005922,665050.69537188637,86998,3566,4931,10417,55726,17073,12358,38653,24452,7107,0.63313697963330062
17,472,616607,280081.57978625072,6065,6743,398603.67863620596,280081.57978625072,91903.425059093264,26618.673790862336,183086.9421521581,368551,183590,16891.43986636971,228305.01283624777,380924.26758685103,32807.086881052353,266470.94610716804,62947,10739,3717,6673,33878,10914,7940,22964,16981,3457,0.49814001318677742
26,369,482983.99999999988,206433.7779683985,5978,4234,244145.97561059965,206433.7779683985,19859.480400381803,17852.7172418193,126392.78146474189,275960,138760,17382.301075268817,203334.62457565655,304172.02047693694,26469.092541456994,218151.605092463,50136,7831,3527,5251,26857,8655,6670,18202,13286,3267,0.50282649659370926
973,22,224469,63000.439347805499,6259,714,69857.261998908347,63000.439347805499,1504.2621348918681,5352.560516210965,27904.481893148848,90569,25307,,59300.493876085893,136237.96474390465,25115.386923138121,83629.405858120386,15293,1435,1417,2133,8818,3182,1490,5636,3013,927,0.27942231889498614
90,102,142461.00000000006,62272.700756622129,1794,1224,67626.441165325392,62272.700756622129,874.1399680301613,4479.6004406730544,33048.745318848793,77476,42688,21011.78947368421,56561.345872923863,93702.644560178567,8659.4191312295061,66800.108519741378,8643,489,597,885,5164,1591,1508,3573,2726,713,0.5509835303836027
36,247,232268,105945.78816688452,2137,2777,134252.46592633985,105945.78816688452,14144.216016750217,14162.461742705093,70651.456060747922,137381,65783,16655.960698689956,91103.492244881301,141192.3806492773,10076.400627224122,101203.85324079341,20429,5466,1397,1665,9431,2846,2470,6585,5645,1314,0.47883622917288415
88,515,380192,165793.33232669346,3883,3941,202286.19852683478,165793.33232669346,18801.399090058094,17691.467110083271,104240.08558789019,217710,105680,17391.106578947369,147262.40652341649,241722.44824905312,22037.145811069058,172423.8774827017,29774,3780,2514,3337,15531,5369,4612,10162,8752,2136,0.4854163795875247
